round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
1,5,2.02948305860779,0.4249213108683577,5401,0,0,900,2.213298065593829,0.3234,0.9938182608524629,0.08771218833998899,0,0,0,0,0,0,5,0.001,0.1
1,6,2.082949758403831,0.3925217391304348,4600,0,0,767,2.213298065593829,0.3234,0.9960055512515728,0.0873097965157028,0,0,0,0,0,0,5,0.001,0.1
1,7,2.1310185787056675,0.37567140600315957,3798,0,0,633,2.213298065593829,0.3234,0.9925177720636313,0.08577944149264047,0,0,0,0,0,0,5,0.001,0.1
1,8,2.162519439484211,0.3196929238985314,2996,0,0,500,2.213298065593829,0.3234,0.9815855740973178,0.08370427917077833,0,0,0,0,0,0,5,0.001,0.1
1,9,2.203824700479922,0.3153144940747493,2194,0,0,366,2.213298065593829,0.3234,0.959167520038508,0.07999343407443939,0,0,0,0,0,0,5,0.001,0.1
1,10,2.226397710496729,0.2512931034482759,1392,0,0,232,2.213298065593829,0.3234,0.9063512264767641,0.0741020604486566,0,0,0,0,0,0,5,0.001,0.1
1,11,2.249505168513248,0.2223728813559322,590,0,0,99,2.213298065593829,0.3234,0.8393709366781648,0.06692073365889054,0,0,0,0,0,0,5,0.001,0.1
2,0,1.5382437119273102,0.562721956406167,9405,0,0,1566,2.1420475423526457,0.3643,0.977283340903878,0.08499509269969799,0,0,0,0,0,0,5,0.001,0.1
2,1,1.5829467440976037,0.5622488093855268,8609,0,0,1435,2.1420475423526457,0.3643,0.981365118110479,0.0854330653445306,0,0,0,0,0,0,5,0.001,0.1
2,2,1.6316442814518193,0.5490201101575509,7807,0,0,1301,2.1420475423526457,0.3643,0.9840870981460821,0.08586176577934278,0,0,0,0,0,0,5,0.001,0.1
2,3,1.7173729254230516,0.5274518201284797,7005,0,0,1167,2.1420475423526457,0.3643,0.9884713136081682,0.08633242136550733,0,0,0,0,0,0,5,0.001,0.1
2,4,1.7794630076467377,0.51336450104788,6203,0,0,1034,2.1420475423526457,0.3643,0.992704332830615,0.0866925046894498,0,0,0,0,0,0,5,0.001,0.1
2,5,1.8570025720539882,0.4974264025180522,5401,0,0,900,2.1420475423526457,0.3643,0.9950706641156258,0.08670353192662114,0,0,0,0,0,0,5,0.001,0.1
2,6,1.9272394749853345,0.45917391304347827,4600,0,0,767,2.1420475423526457,0.3643,0.9967474853019184,0.08650909989325521,0,0,0,0,0,0,5,0.001,0.1
2,7,1.9978967406168706,0.46161137440758293,3798,0,0,633,2.1420475423526457,0.3643,0.9946811343074413,0.08549459201050325,0,0,0,0,0,0,5,0.001,0.1
2,8,2.048241766462935,0.39959946595460616,2996,0,0,500,2.1420475423526457,0.3643,0.9873603833504823,0.08397171640971292,0,0,0,0,0,0,5,0.001,0.1
2,9,2.112485630961432,0.3968094804010939,2194,0,0,366,2.1420475423526457,0.3643,0.9758555246268612,0.08130015417500704,0,0,0,0,0,0,5,0.001,0.1
2,10,2.150258603962985,0.3629310344827586,1392,0,0,232,2.1420475423526457,0.3643,0.9404936090547904,0.07650181958716443,0,0,0,0,0,0,5,0.001,0.1
2,11,2.1802150324771277,0.3657627118644068,590,0,0,99,2.1420475423526457,0.3643,0.883617255389675,0.07020423611920723,0,0,0,0,0,0,5,0.001,0.1
3,0,1.400525644644588,0.5993620414673047,9405,0,0,1566,2.0574397549461634,0.4303,0.9818994103453418,0.08437158097405106,0,0,0,0,0,0,5,0.001,0.1
3,1,1.4377712880682063,0.5969799047508422,8609,0,0,1435,2.0574397549461634,0.4303,0.9858907785037758,0.08477163181265912,0,0,0,0,0,0,5,0.001,0.1
