round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,local_epochs,learning_rate,gamma
0,0,2.2492167990053855,0.15140889965574397,7843,0,0,1566,2.299955081336106,0.1228,0.9107020458634182,0.09222864498609334,0.091968028951565,0.09810421318233371,0.9374523883056721,113602,0.9374494561898632,0.0625505438101368,10,0.025,0.15
0,1,2.255851704195926,0.1509131465216785,7173,0,0,1435,2.299955078318149,0.1228,0.9292297346239217,0.09410498163963106,0.09382817215279934,0.09810421318233371,0.9564132783722198,115900,0.9564126685481342,0.043587331451865774,10,0.025,0.15
0,2,2.286213673797308,0.15106840891621828,6505,0,0,1301,2.299955078318149,0.1228,0.9670625426460311,0.0979363869118022,0.0976244634640914,0.09810421318233371,0.995109794944833,120589,0.9892888382763116,0.010711161723688356,10,0.025,0.15
0,3,2.293180315390877,0.16218948089772142,5837,0,0,1167,2.299955078318149,0.1228,0.9718455901263947,0.09842077584012603,0.09810421318233371,0.09810421318233371,0.9999999999898067,121181,0.9892888382763116,0.010711161723688356,10,0.025,0.15
0,4,2.2968225560537197,0.12884503772489844,5169,0,0,1034,2.299955078318149,0.1228,0.9577796025824329,0.09699628472641503,0.09669323576537966,0.09810421318233371,0.9856175655237429,119439,0.9856166757439223,0.01438332425607769,10,0.025,0.15
0,5,2.2982784900400373,0.1118418129304599,4501,0,0,900,2.299955078318149,0.1228,0.9406335684312961,0.09525987104004258,0.09497276968470254,0.09810421318233371,0.9680804381685499,117313,0.9680728160947996,0.03192718390520044,10,0.025,0.15
0,6,2.299243037700653,0.11967640918580376,3832,0,0,767,2.299955078318149,0.1228,0.9135771428585027,0.09251981189547351,0.09225672539788092,0.09810421318233371,0.9403951410881282,113958,0.9403871862157747,0.05961281378422534,10,0.025,0.15
0,7,2.3005993642807008,0.12398862199747156,3164,0,0,633,2.299955090389976,0.1228,0.827506664295753,0.08380327980113635,0.0836076461655249,0.09810421318233371,0.8522329821786742,103275,0.8522305292865276,0.14776947071347235,10,0.025,0.15
0,8,2.3013868820667267,0.14435096153846153,2496,0,0,500,2.2999551054797593,0.1227,0.7964521622561391,0.08065832733634194,0.08048386659425566,0.09810421318233371,0.8203915406145731,99416,0.820385865887673,0.17961413411232696,10,0.025,0.15
0,9,2.30277747631073,0.11652078774617068,1828,0,0,366,2.2999551175515864,0.1227,0.7176326973113414,0.07267612011126033,0.07254843584287726,0.09810421318233371,0.7395037734750626,89614,0.7394992655674936,0.26050073443250643,10,0.025,0.15
0,10,2.300676407814026,0.11517241379310345,1160,0,0,232,2.299956695942939,0.1227,0.5316143938341394,0.05383766888537254,0.053785713057996114,0.09810421318233371,0.5482507969100496,66438,0.548249740060405,0.45175025993959494,10,0.025,0.15
0,11,2.3045275151729583,0.12764227642276424,492,0,0,99,2.299966374530068,0.1229,0.4103585836276924,0.04155784682630502,0.04153393911817238,0.09810421318233371,0.42336549848838,51304,0.4233632057566305,0.5766367942433694,10,0.025,0.15
1,0,2.0959040172638432,0.23234731607803136,7843,0,0,1566,2.292062252382689,0.1592,0.8990551045748598,0.08918466877411123,0.08894896319240024,0.09490986574876772,0.9371940681795551,113571,0.9371936426201911,0.06280635737980889,10,0.025,0.15
