round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,client_i_v_cosine_similarity,client_i_reward_gradient_norm,local_epochs,learning_rate,gamma,client_0_cosine_similarity,client_1_cosine_similarity,client_2_cosine_similarity,client_3_cosine_similarity,client_4_cosine_similarity,client_5_cosine_similarity,client_6_cosine_similarity,client_7_cosine_similarity,client_8_cosine_similarity,client_9_cosine_similarity,client_10_cosine_similarity,client_11_cosine_similarity
0,0,2.251581969967595,0.1799561723886048,6845,2.2997979901053687,0.12198685171658144,1369,2.299275054207331,0.1428,0.8659268023381249,0.07863445303572793,0.0784727774097196,0.08805717064766157,0.89115715201454,,0.8911554521298543,0.10884454787014575,0,0.13755165346854545,10,0.025,0.15,1.0,0.909488854786013,0.8355206214647977,0.7953103945932448,0.7821721197197766,0.7496951374853567,0.6921029706325562,0.6977845886782489,0.707981612970328,0.7192045837193513,0.6674940815424641,0.6838275065604587
0,1,2.2846360201059386,0.13424607520993062,5478,2.298459529876709,0.14872262773722628,1096,2.2992750511893743,0.1428,0.9243932914348676,0.08394377061156444,0.08374715327209832,0.08805717064766157,0.9510543281732302,,0.9510488356356555,0.048951164364344546,0,0.13755169539899767,10,0.025,0.15,0.909488854786013,1.0,0.9095133168474626,0.8533577178161421,0.8707985616642319,0.8523665021975375,0.7145223428722405,0.7997532178966428,0.7409489316316639,0.7932570247324182,0.780332970618188,0.7647617835306904
0,2,2.2946222198636907,0.1599792531120332,4820,2.2991374731063843,0.15560165975103735,964,2.2992750511893743,0.1428,0.9722083454604156,0.08828583579538882,0.08805717064766157,0.08805717064766157,0.9999999999886436,,0.9925896585301447,0.007410341469855308,0,0.13755169563911362,10,0.025,0.15,0.8355206214647977,0.9095133168474626,1.0,0.9209731817366508,0.9057404096252369,0.9170437486394362,0.8218036660754151,0.8936371577008287,0.8590970350629255,0.8934790257785332,0.8664691789584604,0.8636845366959488
0,3,2.2951230246680123,0.12251475261007717,4406,2.2999942302703857,0.14642451759364358,881,2.2992750511893743,0.1428,0.9478090902777342,0.08607014957273264,0.08585823957206636,0.08805717064766157,0.9750283700873299,,0.9750210427291182,0.02497895727088184,0,0.13755169563764913,10,0.025,0.15,0.7953103945932448,0.8533577178161421,0.9209731817366508,1.0,0.8722727333897289,0.8775234282313678,0.8551363332420838,0.8939774046541502,0.8446107318641616,0.8841296400571682,0.8029543282178215,0.847897929296857
0,4,2.2961336265910757,0.12867217898832684,4112,2.301907335008894,0.12287104622871046,822,2.2992750511893743,0.1428,0.9455796227217352,0.08586769255055304,0.08565727149902108,0.08805717064766157,0.9727461246828402,,0.9727434767539733,0.027256523246026676,0,0.1375516956365028,10,0.025,0.15,0.7821721197197766,0.8707985616642319,0.9057404096252369,0.8722727333897289,1.0,0.863471755060656,0.7868241738087205,0.889359935670666,0.8735915147476998,0.8674389650284966,0.850785682338394,0.8886242350537236
0,5,2.2970603519870387,0.13767035227564928,3889,2.2986337457384383,0.14781491002570693,778,2.2992750451534607,0.1428,0.9340260118427914,0.08481851394838913,0.08461569767286467,0.08805717064766157,0.9609177429794105,,0.9609100361439817,0.03908996385601826,0,0.13755169559346694,10,0.025,0.15,0.7496951374853567,0.8523665021975375,0.9170437486394362,0.8775234282313678,0.863471755060656,1.0,0.8088881059366012,0.8933553965618781,0.804959535438891,0.8739939592980158,0.87061640949271,0.8254026868819536
0,6,2.299528326659367,0.11500943142010239,3711,2.3000826835632324,0.15363881401617252,742,2.299275075333028,0.1428,0.8762237513184845,0.07956951469315797,0.0794020125239609,0.08805717064766157,0.9017097862565469,,0.901701572840851,0.09829842715914905,0,0.13755167246142824,10,0.025,0.15,0.6921029706325562,0.7145223428722405,0.8218036660754151,0.8551363332420838,0.7868241738087205,0.8088881059366012,1.0,0.8030753311067816,0.8895008596225029,0.8948232486294,0.714671319973597,0.7851286803477536
0,7,2.298805331332343,0.12219416386083053,3564,2.2980151573816934,0.1402524544179523,713,2.2992750481714177,0.1428,0.9233011108821139,0.08384459014948595,0.08364866760298145,0.08805717064766157,0.9499358994479897,,0.9499348087999868,0.05006519120001318,0,0.13755169535747322,10,0.025,0.15,0.6977845886782489,0.7997532178966428,0.8936371577008287,0.8939774046541502,0.889359935670666,0.8933553965618781,0.8030753311067816,1.0,0.8529123467487345,0.8497927887944489,0.856199297811756,0.8584224635915609
0,8,2.299384105647052,0.1086021505376344,3441,2.298704465230306,0.1613372093023256,688,2.299275054207331,0.1428,0.9066584636390089,0.08233327827012792,0.08214774192023223,0.08805717064766157,0.9328909992803731,,0.9328860721889389,0.06711392781106107,0,0.13755169351581412,10,0.025,0.15,0.707981612970328,0.7409489316316639,0.8590970350629255,0.8446107318641616,0.8735915147476998,0.804959535438891,0.8895008596225029,0.8529123467487345,1.0,0.8766246368339407,0.8131888810422658,0.8676553417388632
0,9,2.2996643481431183,0.1263647270545891,3334,2.3012667496999106,0.13493253373313344,667,2.2992750481714177,0.1428,0.9283772941045673,0.08430555623822343,0.08410639058423557,0.08805717064766157,0.9551339199826305,,0.9551336006997739,0.04486639930022607,0,0.13755169551144225,10,0.025,0.15,0.7192045837193513,0.7932570247324182,0.8934790257785332,0.8841296400571682,0.8674389650284966,0.8739939592980158,0.8948232486294,0.8497927887944489,0.8766246368339407,1.0,0.8159753907697948,0.881892581233753
