round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,client_i_v_cosine_similarity,client_i_reward_gradient_norm,local_epochs,learning_rate,gamma,client_0_cosine_similarity,client_1_cosine_similarity,client_2_cosine_similarity,client_3_cosine_similarity,client_4_cosine_similarity,client_5_cosine_similarity,client_6_cosine_similarity,client_7_cosine_similarity,client_8_cosine_similarity,client_9_cosine_similarity,client_10_cosine_similarity,client_11_cosine_similarity
0,0,2.2713505258985385,0.2674,5000,2.278614494535658,0.2541966426858513,834,2.2794172154447905,0.2317,0.9932419235414142,0.08333075333805078,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,1.0,0.9895405915880586,0.9905688915960458,0.9858411792547332,0.9827681754031506,0.983477053834053,0.9858402384857693,0.9866849231812754,0.9750626976192842,0.9879620541336918,0.9887294914338043,0.9822454539517557
0,1,2.2718219550551884,0.273,5000,2.2763880358801947,0.23980815347721823,834,2.2794172154447905,0.2317,0.9967469485220413,0.08362481701496742,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9895405915880586,1.0,0.9929268075249826,0.9912070040356237,0.9875370686366589,0.9880713848963371,0.987769449146411,0.9894727703182752,0.9855066731062954,0.9879841452954994,0.9904108573281534,0.9900713449339205
0,2,2.2717248066215756,0.27024,5000,2.27581055076034,0.2637889688249401,834,2.2794172154447905,0.2317,0.9951676493999965,0.08349231738676317,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9905688915960458,0.9929268075249826,1.0,0.9891062094863343,0.9840846179211235,0.9853427538306798,0.9852169748133708,0.9867721785620638,0.9819728436175112,0.990969082919851,0.988290762130115,0.9864228782373283
0,3,2.27311428063994,0.24324,5000,2.282751851611667,0.2026378896882494,834,2.2794172154447905,0.2317,0.9951312881840607,0.08348926676289761,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9858411792547332,0.9912070040356237,0.9891062094863343,1.0,0.9885873733561823,0.9843007166569727,0.9786512120969749,0.9893389918800746,0.9844064568241354,0.984610430288138,0.9931856434708599,0.99200538462369
0,4,2.272323611739335,0.2818,5000,2.2832424817261874,0.22929171668667467,833,2.2794172154447905,0.2317,0.9921437879995981,0.08323862224712729,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9827681754031506,0.9875370686366589,0.9840846179211235,0.9885873733561823,1.0,0.9842091564263972,0.9831493898485044,0.98856104241768,0.9766781454187442,0.976099201090011,0.9921793714098013,0.9817782327803355
0,5,2.2718362872008306,0.29584,5000,2.2802181332199662,0.21008403361344538,833,2.2794172154447905,0.2317,0.9928857966197867,0.08330087509392939,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.983477053834053,0.9880713848963371,0.9853427538306798,0.9843007166569727,0.9842091564263972,1.0,0.9842908159170091,0.9879219893810091,0.9851574237598637,0.9807840040331653,0.9862596180100852,0.9846610587089515
0,6,2.2709884886529035,0.27028,5000,2.2739325011218035,0.24369747899159663,833,2.2794172154447905,0.2317,0.9898329066232687,0.08304474452066384,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9858402384857693,0.987769449146411,0.9852169748133708,0.9786512120969749,0.9831493898485044,0.9842908159170091,1.0,0.9875999235945694,0.9673454364745345,0.9788391330187773,0.9843202602014198,0.9750649160369117
0,7,2.2720151709902816,0.26492,5000,2.276727146572537,0.22088835534213686,833,2.2794172154447905,0.2317,0.9947315154683277,0.0834557267352604,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9866849231812754,0.9894727703182752,0.9867721785620638,0.9893389918800746,0.98856104241768,0.9879219893810091,0.9875999235945694,1.0,0.9800478771467489,0.9828601936990293,0.9923842882245231,0.9848314235084976
0,8,2.2713692024255256,0.25524,5000,2.2868435117933483,0.1992797118847539,833,2.2794172154447905,0.2317,0.9888107626755948,0.08295898895279986,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9750626976192842,0.9855066731062954,0.9819728436175112,0.9844064568241354,0.9766781454187442,0.9851574237598637,0.9673454364745345,0.9800478771467489,1.0,0.9792456404222833,0.9815477623946114,0.9889335807481868
0,9,2.271329781052413,0.25568,5000,2.2719151178995767,0.23529411764705882,833,2.2794172154447905,0.2317,0.9914219820701697,0.0831780643604357,,,1.0,,1.0,0.0,0,0.09932726967388363,5,0.001,0.1,0.9879620541336918,0.9879841452954994,0.990969082919851,0.984610430288138,0.976099201090011,0.9807840040331653,0.9788391330187773,0.9828601936990293,0.9792456404222833,1.0,0.9853042087002688,0.9823702794063833
