round,client_id,client_i_training_loss,client_i_training_accuracy,client_i_training_dataset_size,client_i_evaluation_loss,client_i_evaluation_accuracy,client_i_evaluation_dataset_size,client_i_central_evaluation_loss,client_i_central_evaluation_accuracy,client_i_cosine_similarity,client_i_importance_coefficient,client_i_tanh_val,tanh_normalization_value,client_i_q,client_i_mask_order,client_i_v_nonzero_fraction,client_i_v_sparsity,client_i_v_cosine_similarity,client_i_reward_gradient_norm,local_epochs,learning_rate,gamma,client_0_cosine_similarity,client_1_cosine_similarity,client_2_cosine_similarity,client_3_cosine_similarity,client_4_cosine_similarity,client_5_cosine_similarity,client_6_cosine_similarity,client_7_cosine_similarity,client_8_cosine_similarity,client_9_cosine_similarity,client_10_cosine_similarity,client_11_cosine_similarity
0,0,2.292586403904539,0.12015838732901368,4167,2.298574924468994,0.10071942446043165,834,2.298821690716321,0.12,0.9377923142231949,0.08189252570637721,,,0.6379105732190335,,0.6379577825089535,0.3620422174910465,0,0.1424352783403169,10,0.025,0.15,1.0,0.9227391830571366,0.8798444265777494,0.8754533433611492,0.8791885882182288,0.8917550968893695,0.9132025804894716,0.8682757092171084,0.9016920280547679,0.8258411051619258,0.8872442662545797,0.8938725449173224
0,1,2.294551154338952,0.13323734101271897,4167,2.301302330834525,0.11630695443645084,834,2.2987427832205083,0.1191,0.9558164595089357,0.08346648057757987,,,0.8360670992731174,,0.8361142743971877,0.16388572560281234,0,0.1431239238179326,10,0.025,0.15,0.9227391830571366,1.0,0.883374604526893,0.8971541234532188,0.8913363283595586,0.9245210346444878,0.9262226281965393,0.8994445929606754,0.8958168495341426,0.8433016379477337,0.9180052815614902,0.9436016322905157
0,2,2.2917758905526364,0.1326133909287257,4167,2.296964134488787,0.11870503597122302,834,2.2987418023845816,0.1191,0.9607009119794866,0.08389301440968694,,,0.8897665184631297,,0.8898021158257827,0.11019788417421728,0,0.14313269040387913,10,0.025,0.15,0.8798444265777494,0.883374604526893,1.0,0.880672588720652,0.9463848628702127,0.8942675985171517,0.882894890067218,0.9503009646963713,0.9233481011190267,0.9318728198719992,0.9141605952344061,0.9143461752979058
0,3,2.292904498360374,0.14127669786417085,4167,2.301450627190726,0.11390887290167866,834,2.298923247977148,0.1205,0.9297960449334308,0.08119425309480272,,,0.55,,0.5500404350481095,0.4499595649518905,0,0.14174202025933166,10,0.025,0.15,0.8754533433611492,0.8971541234532188,0.880672588720652,1.0,0.8620732317285599,0.8809880590720601,0.8684677699270188,0.8770114690688102,0.861575821426559,0.8262652515055291,0.9044056068050528,0.9134789709001936
0,4,2.2927004886396003,0.1408207343412527,4167,2.2987184865134105,0.1212484993997599,833,2.2987421071982084,0.1191,0.9588475299138123,0.08373116819261413,,,0.8693905313767667,,0.8694360548596326,0.1305639451403674,0,0.1431292299204586,10,0.025,0.15,0.8791885882182288,0.8913363283595586,0.9463848628702127,0.8620732317285599,1.0,0.9018030705029146,0.8943855463315181,0.9160829924739868,0.9268206212732902,0.9486470619297103,0.9007345977295385,0.9127896826190371
0,5,2.2955908941500116,0.1339812814974802,4167,2.299441303525652,0.10324129651860744,833,2.2987418929232826,0.1191,0.9602313663024199,0.08385201142763396,,,0.8846043574443274,,0.8846528362298031,0.11534716377019694,0,0.143132229363149,10,0.025,0.15,0.8917550968893695,0.9245210346444878,0.8942675985171517,0.8809880590720601,0.9018030705029146,1.0,0.9101719779844364,0.9185027192736732,0.9341090598584765,0.8791181347979369,0.931480654004888,0.929371341387794
0,6,2.2928809296001087,0.1468442524598032,4167,2.298276628766741,0.11764705882352941,833,2.2987680012666725,0.12,0.9503192391249665,0.08298643691036266,,,0.775630941165648,,0.775676255549504,0.22432374445049597,0,0.14297677625116892,10,0.025,0.15,0.9132025804894716,0.9262226281965393,0.882894890067218,0.8684677699270188,0.8943855463315181,0.9101719779844364,1.0,0.9068193572910724,0.9077249756550414,0.835170531809537,0.8987971633250296,0.9387092281183845
0,7,2.294573614091584,0.1443484521238301,4167,2.2971006461552212,0.13085234093637454,833,2.298740223993229,0.1191,0.9656558552830878,0.08432570383964874,,,0.9442409102454294,,0.9442986582165668,0.05570134178343322,0,0.14314334412329965,10,0.025,0.15,0.8682757092171084,0.8994445929606754,0.9503009646963713,0.8770114690688102,0.9160829924739868,0.9185027192736732,0.9068193572910724,1.0,0.9456736657320699,0.9116372334316255,0.9362378892368632,0.9282271459144106
0,8,2.2941539244218307,0.13819011041766682,4166,2.2974276542663574,0.11884753901560624,833,2.2987401998495756,0.1191,0.9655494690176393,0.0843164136803609,,,0.9430713051159245,,0.9431268670264561,0.056873132973543905,0,0.14314331171823638,10,0.025,0.15,0.9016920280547679,0.8958168495341426,0.9233481011190267,0.861575821426559,0.9268206212732902,0.9341090598584765,0.9077249756550414,0.9456736657320699,1.0,0.9282574928147965,0.9229214519630647,0.9090647221405723
0,9,2.290694267099554,0.14493518963034085,4166,2.303117649895804,0.11884753901560624,833,2.2989065737663945,0.1205,0.933922705047154,0.08155461286137267,,,0.5953682890022125,,0.5954184614876797,0.40458153851232026,0,0.14187130766773198,10,0.025,0.15,0.8258411051619258,0.8433016379477337,0.9318728198719992,0.8262652515055291,0.9486470619297103,0.8791181347979369,0.835170531809537,0.9116372334316255,0.9282574928147965,1.0,0.8887768327938981,0.875955711261999
0,10,2.294818305246758,0.13043686989918388,4166,2.2949647222246443,0.1404561824729892,833,2.2987402179573158,0.1191,0.9639603186904532,0.0841776414468433,,,0.9256002681696094,,0.9256407717317754,0.07435922826822461,0,0.1431424961610235,10,0.025,0.15,0.8872442662545797,0.9180052815614902,0.9141605952344061,0.9044056068050528,0.9007345977295385,0.931480654004888,0.8987971633250296,0.9362378892368632,0.9229214519630647,0.8887768327938981,1.0,0.9360407519219606
0,11,2.294385228012547,0.13790206433029284,4166,2.2976113728114536,0.1332533013205282,833,2.298740154580225,0.1191,0.9689084709783041,0.08460973785271708,,,0.9799999998741028,,0.9800300374643098,0.019969962535690167,0,0.14314368818472079,10,0.025,0.15,0.8938725449173224,0.9436016322905157,0.9143461752979058,0.9134789709001936,0.9127896826190371,0.929371341387794,0.9387092281183845,0.9282271459144106,0.9090647221405723,0.875955711261999,0.9360407519219606,1.0
1,0,2.2104749123255414,0.1812335013198944,4167,2.287773404802595,0.15467625899280577,834,2.2887211751334275,0.1561,0.9772117798799925,0.08223108852174117,,,0.6008830091003299,,0.600930831311581,0.399069168688419,0.8427327346781257,0.1470988441754401,10,0.025,0.15,1.0,0.9546102877245656,0.9616499880352283,0.9574699390140479,0.9602762096570866,0.9613918435214697,0.9536075098695521,0.9558528286434299,0.9691026953325357,0.9621613466388531,0.9485473505258724,0.952899912942039
1,1,2.21698176427321,0.18411327093832494,4167,2.2914126259940013,0.1474820143884892,834,2.2885797506646264,0.1508,0.9827332500017717,0.08338109787339493,,,0.825754740380048,,0.8257992111039594,0.17420078889604063,0.8454357931408814,0.1475349698606821,10,0.025,0.15,0.9546102877245656,1.0,0.9614082384055377,0.9638565364134329,0.9722830481140555,0.9667344143880833,0.9623182265829832,0.9719947333531391,0.9661444645401107,0.9536997641626741,0.9628604212603052,0.9654243313043832
1,2,2.202910202922243,0.19184065274778017,4167,2.286181790488107,0.1606714628297362,834,2.2885706726508803,0.1509,0.9865325558145909,0.08376750448130117,,,0.9013123197795954,,0.9013549867141984,0.09864501328580155,0.8456419771070004,0.14756395606281195,10,0.025,0.15,0.9616499880352283,0.9614082384055377,1.0,0.9653352698825295,0.9721896128074888,0.9708129413793513,0.9677762980104373,0.9753744668873945,0.967984396046192,0.9662095379320764,0.965081070790678,0.9724021111484393
1,3,2.212549914735736,0.1920326373890089,4167,2.2913128648485457,0.14628297362110312,834,2.288890247103534,0.1591,0.9824627778088677,0.08197086934713592,,,0.55,,0.5500404350481095,0.4499595649518905,0.8395685864007337,0.14681850314175196,10,0.025,0.15,0.9574699390140479,0.9638565364134329,0.9653352698825295,1.0,0.9669679449475155,0.9638478570588158,0.9667658969093968,0.9616986809175798,0.9604769440915862,0.9591562309829448,0.9670907470534368,0.9667879035960563
1,4,2.2019958980155714,0.20686345092392608,4167,2.2887416907719205,0.15006002400960383,833,2.2885721514496624,0.1509,0.9877836844094386,0.08370829591300886,,,0.8897347328327259,,0.8897691076232443,0.11023089237675565,0.8456390140641734,0.14756076870599863,10,0.025,0.15,0.9602762096570866,0.9722830481140555,0.9721896128074888,0.9669679449475155,1.0,0.9725899083586651,0.9687565268062646,0.9735578062855887,0.967194410069465,0.9699446112785558,0.9643085984290317,0.9730817404720754
1,5,2.21371026653232,0.2025437964962803,4167,2.2887099470411028,0.12845138055222088,833,2.2885711917394325,0.1509,0.9854312681053462,0.08370646523863694,,,0.8893767645128745,,0.889422521496592,0.11057747850340804,0.8456532220575774,0.14756076428227355,10,0.025,0.15,0.9613918435214697,0.9667344143880833,0.9708129413793513,0.9638478570588158,0.9725899083586651,1.0,0.9658780785971809,0.9695609831703843,0.9716235529855985,0.9656722701724688,0.9583355093618807,0.9668958962046242
1,6,2.2018642555583607,0.20297576193904487,4167,2.2881549767085483,0.148859543817527,833,2.2886090912396395,0.1526,0.9833357969222778,0.08310457962650196,,,0.7716846262372061,,0.771723523295539,0.22827647670446105,0.8459300638197144,0.14748243221738305,10,0.025,0.15,0.9536075098695521,0.9623182265829832,0.9677762980104373,0.9667658969093968,0.9687565268062646,0.9658780785971809,1.0,0.969262458818897,0.9604451477385794,0.9568866807107163,0.964955137262356,0.9720942690052525
1,7,2.2108008821805316,0.20439164866810655,4167,2.286872012274606,0.16206482593037214,833,2.2885679595078092,0.151,0.9868237279785772,0.0840438275869554,,,0.9553442761908191,,0.9553894142694459,0.0446105857305541,0.8455782902937263,0.14757155613686937,10,0.025,0.15,0.9558528286434299,0.9719947333531391,0.9753744668873945,0.9616986809175798,0.9735578062855887,0.9695609831703843,0.969262458818897,1.0,0.9738147151006101,0.9622423837354901,0.9686580376125741,0.9672033767508972
1,8,2.2126784693111072,0.19219875180028806,4166,2.2871973514556885,0.15126050420168066,833,2.288567811627931,0.151,0.9852282659446134,0.08398630620016322,,,0.944096599104569,,0.9441501213051443,0.05584987869485569,0.845587476884146,0.14757066813093098,10,0.025,0.15,0.9691026953325357,0.9661444645401107,0.967984396046192,0.9604769440915862,0.967194410069465,0.9716235529855985,0.9604451477385794,0.9738147151006101,1.0,0.9689109201553497,0.9621665134974053,0.963033443848028
1,9,2.196811361023874,0.20590494479116658,4166,2.2939997741154263,0.148859543817527,833,2.2888435351697702,0.1596,0.9812201724871964,0.08215279239034767,,,0.5855730582780679,,0.5856150253337955,0.4143849746662045,0.839816589810994,0.14700474465427685,10,0.025,0.15,0.9621613466388531,0.9536997641626741,0.9662095379320764,0.9591562309829448,0.9699446112785558,0.9656722701724688,0.9568866807107163,0.9622423837354901,0.9689109201553497,1.0,0.9558886473070306,0.9639113469237859
1,10,2.218138206727577,0.19527124339894383,4166,2.285045555659703,0.16566626650660263,833,2.2885684876502315,0.1509,0.981424986565187,0.08377725418379012,,,0.9032187673010861,,0.9032612104107871,0.09673878958921289,0.8455917844372595,0.14756430584187544,10,0.025,0.15,0.9485473505258724,0.9628604212603052,0.965081070790678,0.9670907470534368,0.9643085984290317,0.9583355093618807,0.964955137262356,0.9686580376125741,0.9621665134974053,0.9558886473070306,1.0,0.9678317403946843
1,11,2.217230348514788,0.19243879020643304,4166,2.28763815334865,0.16326530612244897,833,2.28856769392762,0.151,0.9853113795284156,0.08416991863702256,,,0.979999999804461,,0.9800300374643098,0.019969962535690167,0.8455747760735651,0.14757242756733552,10,0.025,0.15,0.952899912942039,0.9654243313043832,0.9724021111484393,0.9667879035960563,0.9730817404720754,0.9668958962046242,0.9720942690052525,0.9672033767508972,0.963033443848028,0.9639113469237859,0.9678317403946843,1.0
2,0,2.119587653694731,0.23054955603551716,4167,2.271948916571481,0.18585131894484413,834,2.2736799958386,0.1935,0.9801713649110532,0.08250491496801206,,,0.5710681281160228,,0.5711079203181991,0.4288920796818009,0.9519846164749977,0.14704035497205561,10,0.025,0.15,1.0,0.9631494176159778,0.9663868487542183,0.9603855659040842,0.9616787195259743,0.9603107441807768,0.9550091709130675,0.9612712104530599,0.9653756216560674,0.9672230741250775,0.9613970302402837,0.9613002165699149
2,1,2.1251847556143098,0.2306935445164387,4167,2.2763118403298512,0.18585131894484413,834,2.2733624343630634,0.1888,0.9853759129558262,0.08338282779940616,,,0.8258818738687954,,0.8259312439141127,0.17406875608588734,0.9557637374195008,0.14768238328506458,10,0.025,0.15,0.9631494176159778,1.0,0.9633334707705132,0.9640815522313511,0.9697338484286082,0.9734087920881105,0.9649818511993037,0.9755258562168095,0.9694995901252618,0.9633151147456989,0.9675219523880912,0.9696148561266417
2,2,2.1132328947385153,0.2334293256539477,4167,2.2699807371412004,0.20503597122302158,834,2.2733407412903217,0.1894,0.9846321546831103,0.08359692866269564,,,0.8880245388268422,,0.8880609331418857,0.11193906685811428,0.9559742957370052,0.14770754383167028,10,0.025,0.15,0.9663868487542183,0.9633334707705132,1.0,0.9649165710623137,0.965889741039034,0.9680080784147115,0.9649080170783969,0.9715536132664032,0.9673585509422878,0.9657151588493232,0.96727979919083,0.9700366683219981
2,3,2.1208639527812148,0.235565154787617,4167,2.2766903809138705,0.17985611510791366,834,2.2739121944089478,0.1985,0.9828786309558185,0.08243232869543139,,,0.55,,0.5500404350481095,0.4499595649518905,0.9513602718217022,0.1468958355202029,10,0.025,0.15,0.9603855659040842,0.9640815522313511,0.9649165710623137,1.0,0.9669936400728403,0.9639664088275984,0.9630232608342474,0.9701983239674807,0.9621182225295911,0.9615172909197086,0.9718474732108429,0.966307077260368
2,4,2.1066500056873667,0.2482361411087113,4167,2.273650918688093,0.1992797118847539,833,2.2733432552482506,0.1891,0.9856029973120262,0.08359192753738416,,,0.8865729647889369,,0.8866168242808338,0.11338317571916623,0.9559777319865113,0.14770718761022378,10,0.025,0.15,0.9616787195259743,0.9697338484286082,0.965889741039034,0.9669936400728403,1.0,0.972552786035279,0.9662733749942801,0.9707291755788229,0.9676670711050218,0.9662355301655084,0.9677923670244002,0.9712853720049311
2,5,2.114669548742699,0.24384449244060474,4167,2.272519520350865,0.18487394957983194,833,2.273340689985058,0.1891,0.9865487581233638,0.083621488335076,,,0.895152971046889,,0.8951907048901652,0.10480929510983483,0.9559914814047289,0.14770907334713973,10,0.025,0.15,0.9603107441807768,0.9734087920881105,0.9680080784147115,0.9639664088275984,0.972552786035279,1.0,0.966174787331469,0.9743458576692247,0.972799628945278,0.9686939434259977,0.9664379960401439,0.9712003872544964
2,6,2.09797441814885,0.24991600671946243,4167,2.2729645797184537,0.17647058823529413,833,2.2734052501147306,0.1898,0.9832699257087069,0.08314400472958221,,,0.7565636012364427,,0.756614018583618,0.243385981416382,0.9553213714011329,0.1476168911038488,10,0.025,0.15,0.9550091709130675,0.9649818511993037,0.9649080170783969,0.9630232608342474,0.9662733749942801,0.966174787331469,1.0,0.9740524096744196,0.9662069364615798,0.957611995679142,0.9707752479388648,0.9702272372695792
2,7,2.112078445246725,0.24574034077273818,4167,2.271289110183716,0.19807923169267708,833,2.2733359367032593,0.1898,0.9882950250246869,0.08388615152723397,,,0.9719713258368119,,0.97201729629813,0.02798270370186995,0.9560608080694756,0.14771611838448495,10,0.025,0.15,0.9612712104530599,0.9755258562168095,0.9715536132664032,0.9701983239674807,0.9707291755788229,0.9743458576692247,0.9740524096744196,1.0,0.9740445158006836,0.963158137363243,0.9709613392942678,0.9725897920663383
2,8,2.1202026952396738,0.2374939990398464,4166,2.2722856998443604,0.1836734693877551,833,2.2733359336853027,0.1898,0.9859046430950371,0.08377312049870812,,,0.9391641282028244,,0.9391988909243947,0.06080110907560532,0.9560289209619447,0.1477150757693004,10,0.025,0.15,0.9653756216560674,0.9694995901252618,0.9673585509422878,0.9621182225295911,0.9676670711050218,0.972799628945278,0.9662069364615798,0.9740445158006836,1.0,0.9679924718821342,0.9680033284585141,0.9691992855432775
2,9,2.0986255410945778,0.24335093614978395,4166,2.280475241797311,0.18007202881152462,833,2.2738165463073345,0.1985,0.982305997189411,0.08252590999430241,,,0.5771619236500599,,0.5771979336865211,0.42280206631347894,0.952109387217341,0.14707090126644756,10,0.025,0.15,0.9672230741250775,0.9633151147456989,0.9657151588493232,0.9615172909197086,0.9662355301655084,0.9686939434259977,0.957611995679142,0.963158137363243,0.9679924718821342,1.0,0.9603422662812341,0.9668236156817287
2,10,2.122757576451157,0.23867018722995678,4166,2.2697459629603793,0.21728691476590636,833,2.2733365855639494,0.1894,0.9853608153076523,0.0836265844392711,,,0.8966321126566956,,0.8966678219537555,0.1033321780462445,0.9559865424168424,0.14770923932239993,10,0.025,0.15,0.9613970302402837,0.9675219523880912,0.96727979919083,0.9718474732108429,0.9677923670244002,0.9664379960401439,0.9707752479388648,0.9709613392942678,0.9680033284585141,0.9603422662812341,1.0,0.9716023478761616
2,11,2.1215138283642854,0.24195871339414307,4166,2.2728448595319475,0.19807923169267708,833,2.2733355866202825,0.1898,0.9867517356234125,0.08391381281289699,,,0.9799999997097505,,0.9800300374643098,0.019969962535690167,0.9560563990423235,0.1477161981215396,10,0.025,0.15,0.9613002165699149,0.9696148561266417,0.9700366683219981,0.966307077260368,0.9712853720049311,0.9712003872544964,0.9702272372695792,0.9725897920663383,0.9691992855432775,0.9668236156817287,0.9716023478761616,1.0
